id,option_value_id,language_code,name,created_at,updated_at,option_id,,,,,,,,
1,1,zh_Hant,白色,2022/12/31 00:00,2022/12/31 00:00,1,,,,,,,,
2,2,zh_Hant,咖啡色,2022/12/31 00:00,2022/12/31 00:00,1,,,,,,,,
3,3,zh_Hant,黃色,2022/12/31 00:00,2022/12/31 00:00,1,,,,,,,,
4,4,zh_Hant,紅色,2022/12/31 00:00,2022/12/31 00:00,1,,,,,,,,
5,5,zh_Hant,藍色,2022/12/31 00:00,2022/12/31 00:00,1,,,,,,,,
6,6,zh_Hant,綠色,2022/12/31 00:00,2022/12/31 00:00,1,,,,,,,,
7,7,zh_Hant,黑色,2022/12/31 00:00,2022/12/31 00:00,1,,,,,,,,
8,8,zh_Hant,紫色,2022/12/31 00:00,2022/12/31 00:00,1,,,,,,,,
9,9,zh_Hant,土豪金,2022/12/31 00:00,2022/12/31 00:00,1,,,,,,,,
10,10,zh_Hant,尊貴黑,2022/12/31 00:00,2022/12/31 00:00,1,,,,,,,,
11,11,zh_Hant,蜜桃粉,2022/12/31 00:00,2022/12/31 00:00,1,,,,,,,,
12,12,zh_Hant,海洋藍,2022/12/31 00:00,2022/12/31 00:00,1,,,,,,,,
13,13,zh_Hant,吉利橘,2022/12/31 00:00,2022/12/31 00:00,1,,,,,,,,
14,14,zh_Hant,大,2022/12/31 00:00,2022/12/31 00:00,2,,,,,,,,
15,15,zh_Hant,中,2022/12/31 00:00,2022/12/31 00:00,2,,,,,,,,
16,16,zh_Hant,小,2022/12/31 00:00,2022/12/31 00:00,2,,,,,,,,
17,17,zh_Hant,先生,2022/12/31 00:00,2022/12/31 00:00,3,,,,,,,,
18,18,zh_Hant,小姐,2022/12/31 00:00,2022/12/31 00:00,3,,,,,,,,
19,101,en,Pending,2022/12/31 00:00,2022/12/31 00:00,101,未確認,,,,,,,1
20,102,en,Denied,2022/12/31 00:00,2022/12/31 00:00,101,已拒絕,,,,,,,1
21,103,en,Confirmed,2022/12/31 00:00,2022/12/31 00:00,101,已確認,,,,,,,
22,104,en,Processing,2022/12/31 00:00,2022/12/31 00:00,101,處理中,,,,,,,
23,105,en,Shipped,2022/12/31 00:00,2022/12/31 00:00,101,已出貨,,,,,,,
24,106,en,Canceled,2022/12/31 00:00,2022/12/31 00:00,101,已取消,,,,,,,
25,107,en,Complete,2022/12/31 00:00,2022/12/31 00:00,101,已完成,拒絕訂單,,,,,,
26,108,en,Reversed,2022/12/31 00:00,2022/12/31 00:00,101,逆轉交易,,,,,,,
27,109,en,Refunded,2022/12/31 00:00,2022/12/31 00:00,101,已退款,,,,,,,
28,110,en,Chargeback,2022/12/31 00:00,2022/12/31 00:00,101,已取消支付,,,,,,,
29,111,en,Canceled Reversal,2022/12/31 00:00,2022/12/31 00:00,101,取消逆轉,,,,,,,
30,112,en,Failed,2022/12/31 00:00,2022/12/31 00:00,101,失敗的,,,,,,,
31,113,en,Expired,2022/12/31 00:00,2022/12/31 00:00,101,已逾期,,,,,,,
32,114,en,Processed,2022/12/31 00:00,2022/12/31 00:00,101,已處理,,,,,,,
33,115,en,Voided,2022/12/31 00:00,2022/12/31 00:00,101,作廢,,,,,,,
34,101,zh_Hant,未確認,2022/12/31 00:00,2022/12/31 00:00,101,,,,,,,,
35,102,zh_Hant,已拒絕,2022/12/31 00:00,2022/12/31 00:00,101,拒絕訂單,,,,,,,
36,103,zh_Hant,已確認,2022/12/31 00:00,2022/12/31 00:00,101,,,,,,,,
37,104,zh_Hant,處理中,2022/12/31 00:00,2022/12/31 00:00,101,,,,,,,,
38,105,zh_Hant,已出貨,2022/12/31 00:00,2022/12/31 00:00,101,,,,,,,,
39,106,zh_Hant,已取消,2022/12/31 00:00,2022/12/31 00:00,101,,,,,,,,
40,107,zh_Hant,已完成,2022/12/31 00:00,2022/12/31 00:00,101,交易完成,,,,,,,
41,108,zh_Hant,逆轉交易,2022/12/31 00:00,2022/12/31 00:00,101,,,,,,,,
42,109,zh_Hant,已退款,2022/12/31 00:00,2022/12/31 00:00,101,店家退錢給顧客,,,,,,,
43,110,zh_Hant,已取消支付,2022/12/31 00:00,2022/12/31 00:00,101,支付平台直接退錢給顧客,在爭議事件裡若責任在賣方，支付平台有可能在未知會賣方的情況下直接退錢給買方。,,,,,,
44,111,zh_Hant,取消逆轉,2022/12/31 00:00,2022/12/31 00:00,101,,,,,,,,
45,112,zh_Hant,失敗的,2022/12/31 00:00,2022/12/31 00:00,101,,,,,,,,
46,113,zh_Hant,已逾期,2022/12/31 00:00,2022/12/31 00:00,101,,,,,,,,
47,114,zh_Hant,已處理,2022/12/31 00:00,2022/12/31 00:00,101,,,,,,,,
48,115,zh_Hant,作廢,2022/12/31 00:00,2022/12/31 00:00,101,,,,,,,,
49,116,zh_Hant,待配餐,2022/12/31 00:00,2022/12/31 00:00,101,,,,,,,,
50,117,zh_Hant,未結清,2022/12/31 00:00,2022/12/31 00:00,101,,,,,,,,
51,118,zh_Hant,已結案,2022/12/31 00:00,2022/12/31 00:00,101,,,,,,,,
